"Part";"Value";"Device";"Package";"Description";"PARTNO";"QR_DEST";"QR_DEST_SHORT";
"BOOSTER-PUMP-INTERLOCK-V1.1";"QR-HTTP://GIT.IO/V5BSG-WIRE";"QR-HTTP://GIT.IO/V5BSG-WIRE";"QR-HTTP://GIT.IO/V5BSG-WIRE";"QR Code pointing to http://git.io/v5bSG-WIRE if a wire-based rendering for silks screens lighter than the solder mask.";"";"http://git.io/v5bSG";"git.io/v5bSG";
"IC1";"OPA743";"OPA743";"SOT23-5";"12V, 7MHz, CMOS, Rail-to-Rail I/O OP AMP";"OPA743NA/3KCT-ND";"";"";
"IC2";"OPA743";"OPA743";"SOT23-5";"12V, 7MHz, CMOS, Rail-to-Rail I/O OP AMP";"OPA743NA/3KCT-ND";"";"";
"IC3";"4044D";"4044D";"SO16";"Quad 3-state NAND R/S LATCH";"";"";"";
"IC4";"OPA743";"OPA743";"SOT23-5";"12V, 7MHz, CMOS, Rail-to-Rail I/O OP AMP";"OPA743NA/3KCT-ND";"";"";
"IC5";"OPA743";"OPA743";"SOT23-5";"12V, 7MHz, CMOS, Rail-to-Rail I/O OP AMP";"OPA743NA/3KCT-ND";"";"";
"JP1";"";"JP1E";"JP1";"JUMPER";"";"";"";
"JP2";"";"JP1E";"JP1";"JUMPER";"";"";"";
"JP3";"";"JP1E";"JP1";"JUMPER";"";"";"";
"JP4";"";"JP1E";"JP1";"JUMPER";"";"";"";
"JP5";"";"JP1E";"JP1";"JUMPER";"";"";"";
"JP6";"";"JP1E";"JP1";"JUMPER";"";"";"";
"JP7";"";"JP1E";"JP1";"JUMPER";"";"";"";
"R1";"150";"R-US_R0805";"R0805";"RESISTOR, American symbol";"";"";"";
"R2";"10k";"R-US_R0805";"R0805";"RESISTOR, American symbol";"";"";"";
"R3";"150";"R-US_R0805";"R0805";"RESISTOR, American symbol";"";"";"";
"R4";"150";"R-US_R0805";"R0805";"RESISTOR, American symbol";"";"";"";
"R5";"10k";"R-US_R0805";"R0805";"RESISTOR, American symbol";"";"";"";
